Bundesland / Messnetz;Stationscode;Stationsname;Stationsumgebung;Art der Station;Jahresmittelwert in µg/m³;Zahl der Tagesmittelwerte über 125 µg/m³;Zahl der Stundenmittelwerte über 350 µg/m³;Wintermittelwert in µg/m³
Hamburg;DEHH008;Hamburg Sternschanze;städtisches Gebiet;Hintergrund;3,1;0;0;3,8
Hamburg;DEHH059;Hamburg Wilhelmsburg;städtisches Gebiet;Hintergrund;2,7;0;0;2,6
Hamburg;DEHH079;Hamburg Altona Elbhang;städtisches Gebiet;Hintergrund;3;0;0;3,2
Hamburg;DEHH081;Hamburg Hafen;städtisches Gebiet;Hintergrund;3,1;0;0;3,4
Mecklenburg-Vorpommern;DEMV019;Güstrow;städtisches Gebiet;Hintergrund;0,4;0;0;0,36
Mecklenburg-Vorpommern;DEMV021;Rostock-Warnemünde;städtisches Gebiet;Hintergrund;0,97;0;0;1,3
Nordrhein-Westfalen;DENW024;Essen-Vogelheim;städtisches Gebiet;Hintergrund;5,3;0;0;4,6
Rheinland-Pfalz;DERP001;Ludwigshafen-Oppau;städtisches Gebiet;Hintergrund;1,1;0;0;1,1
Rheinland-Pfalz;DERP007;Mainz-Mombach;städtisches Gebiet;Hintergrund;1,1;0;0;1,1
Rheinland-Pfalz;DERP009;Mainz-Zitadelle;städtisches Gebiet;Hintergrund;1;0;0;1
Rheinland-Pfalz;DERP019;Kaiserslautern-Rathausplatz;städtisches Gebiet;Hintergrund;1;0;0;1
Rheinland-Pfalz;DERP021;Neuwied-Hafenstraße;städtisches Gebiet;Hintergrund;1;0;0;1
Rheinland-Pfalz;DERP022;Bad Kreuznach-Bosenheimer Straße;städtisches Gebiet;Hintergrund;1;0;0;1
Rheinland-Pfalz;DERP025;Wörth-Marktplatz;städtisches Gebiet;Hintergrund;1,1;0;0;1,1
Saarland;DESL012;Saarbrücken-City;städtisches Gebiet;Hintergrund;1,5;0;0;1,5
Saarland;DESL017;Völklingen-City Stadionstr.;städtisches Gebiet;Hintergrund;1,7;0;0;2
