Bundesland / Messnetz;Stationscode;Stationsname;Stationsumgebung;Art der Station;Jahresmittelwert in µg/m³
Hamburg;DEHH059;Hamburg Wilhelmsburg;städtisches Gebiet;Hintergrund;8,5
Hamburg;DEHH008;Hamburg Sternschanze;städtisches Gebiet;Hintergrund;9,2
Hessen;DEHE135;Frankfurt-Schwanheim;vorstädtisches Gebiet;Hintergrund;7
Hessen;DEHE134;Fulda Zentral;städtisches Gebiet;Hintergrund;7,2
Hessen;DEHE046;Bad Arolsen;ländliches Gebiet;Hintergrund;6,6
Hessen;DEHE044;Limburg;städtisches Gebiet;Hintergrund;7,6
Hessen;DEHE030;Marburg;städtisches Gebiet;Hintergrund;7,2
Hessen;DEHE024;Witzenhausen/Wald;ländliches Gebiet;Hintergrund;5,8
Hessen;DEHE022;Wiesbaden Süd;städtisches Gebiet;Hintergrund;8
Hessen;DEHE018;Raunheim;städtisches Gebiet;Hintergrund;8
Hessen;DEHE013;Kassel Mitte;städtisches Gebiet;Hintergrund;7,7
Hessen;DEHE008;Frankfurt Ost;städtisches Gebiet;Hintergrund;8,5
Hessen;DEHE005;Frankfurt-Höchst;städtisches Gebiet;Hintergrund;8,3
Bremen;DEHB012;Bremen-Oslebshausen;städtisches Gebiet;Hintergrund;8,6
Bremen;DEHB005;Bremerhaven-Hansastraße;städtisches Gebiet;Hintergrund;8,7
Bremen;DEHB002;Bremen-Ost;städtisches Gebiet;Hintergrund;8,2
Bayern;DEBY187;Oettingen/Goethestraße;vorstädtisches Gebiet;Hintergrund;8,7
Bayern;DEBY124;Burgbernheim/Grüne Au;ländlich regional;Hintergrund;7,7
Bayern;DEBY118;Passau/Stelzhamerstraße;städtisches Gebiet;Hintergrund;10
Bayern;DEBY109;Andechs/Rothenfeld;ländlich regional;Hintergrund;6,6
Bayern;DEBY099;Augsburg/LfU;vorstädtisches Gebiet;Hintergrund;8
Bayern;DEBY089;München/Johanneskirchen;vorstädtisches Gebiet;Hintergrund;8,1
