Bundesland / Messnetz;Stationscode;Stationsname;Stationsumgebung;Art der Station;Jahresmittelwert in µg/m³;Zahl der Stundenmittelwerte über 200 µg/m³*
Niedersachsen;DENI042;Göttingen;vorstädtisches Gebiet;Hintergrund;8,5;0
Niedersachsen;DENI043;Emsland;vorstädtisches Gebiet;Hintergrund;9,8;0
Niedersachsen;DENI052;Allertal;vorstädtisches Gebiet;Hintergrund;7,9;0
Niedersachsen;DENI062;Lüneburger Heide;vorstädtisches Gebiet;Hintergrund;9,7;0
Nordrhein-Westfalen;DENW002;Datteln-Hagem;vorstädtisches Gebiet;Hintergrund;13;0
Nordrhein-Westfalen;DENW006;Lünen-Niederaden;vorstädtisches Gebiet;Hintergrund;15;0
Nordrhein-Westfalen;DENW010;Unna-Königsborn;vorstädtisches Gebiet;Hintergrund;12;0
Nordrhein-Westfalen;DENW022;Gelsenkirchen-Bismarck;vorstädtisches Gebiet;Hintergrund;16;0
Nordrhein-Westfalen;DENW029;Hattingen-Blankenstein;vorstädtisches Gebiet;Hintergrund;12;0
Nordrhein-Westfalen;DENW059;Köln-Rodenkirchen;vorstädtisches Gebiet;Hintergrund;18;0
Nordrhein-Westfalen;DENW062;Bonn-Auerberg;vorstädtisches Gebiet;Hintergrund;19;0
Nordrhein-Westfalen;DENW078;Ratingen-Tiefenbroich;vorstädtisches Gebiet;Hintergrund;16;0
Nordrhein-Westfalen;DENW079;Leverkusen-Manfort;vorstädtisches Gebiet;Hintergrund;17;0
Nordrhein-Westfalen;DENW080;Solingen-Wald;vorstädtisches Gebiet;Hintergrund;14;0
Nordrhein-Westfalen;DENW096;Mönchengladbach-Rheydt;vorstädtisches Gebiet;Hintergrund;15;0
Nordrhein-Westfalen;DENW247;Essen-Schuir (LANUV);vorstädtisches Gebiet;Hintergrund;20;0
Rheinland-Pfalz;DERP053;Speyer-Nord;vorstädtisches Gebiet;Hintergrund;17;0
Saarland;DESL013;Saarlouis-Fraulautern;vorstädtisches Gebiet;Hintergrund;12;0
Sachsen;DESN045;Zittau-Ost;vorstädtisches Gebiet;Hintergrund;9;0
Sachsen;DESN059;Leipzig-West;vorstädtisches Gebiet;Hintergrund;9,1;0
Sachsen-Anhalt;DEST002;Burg;vorstädtisches Gebiet;Hintergrund;7,1;0
Sachsen-Anhalt;DEST029;Bernburg;vorstädtisches Gebiet;Hintergrund;12;0
Thüringen;DETH117;Erfurt Bautzener Weg;vorstädtisches Gebiet;Hintergrund;8,5;0
Brandenburg;DEBB110;Dallgow-Döberitz;vorstädtisches Gebiet;Hintergrund;8,3;0
Brandenburg;DEBB112;Wildau;vorstädtisches Gebiet;Hintergrund;11;0
